,Unnamed: 0,Message,filtered_msg,clusters
0,0,"Dear Customer, Your a/c no. XXXXXXXX2197 is debited for Rs.5,000.00 on 16-Nov-2016 20:47:35 and a/c XXXXXXXX7714 credited (IMPS Ref no 632120341364).",DEAR CUSTOMER YOUR NO IS DEBITED FOR ON AND CREDITED IMPS REF NO,443
1,1,"Dear Customer, Your Ac XXXXXXXX2197 is credited with INR13,103.00 on 01 Dec. Info. SALARY NOV-2016. Your Net Available Bal is INR 36,447.00.",DEAR CUSTOMER YOUR AC IS CREDITED WITH ON INFO SALARY YOUR NET AVAILABLE BAL IS INR,112
2,2,"Dear Customer, Cheque No. 7 for INR 20000 deposited in your Account XXXXXXXX2197 has been dishonoured on 15 Dec.",DEAR CUSTOMER CHEQUE NO FOR INR DEPOSITED IN YOUR ACCOUNT HAS BEEN DISHONOURED ON DEC,428
3,3,"Dear Customer, Cheque Book for Acct XX2197 sent by Speed Post, Ref. EX366985493IN on 20-DEC-16. Check status using iTrack feature on iMobile at mobile.icicibank.com/dl",DEAR CUSTOMER CHEQUE BOOK FOR ACCT SENT BY SPEED POST REF ON CHECK STATUS USING ITRACK FEATURE ON IMOBILE AT,246
4,4,You have initiated request for applying saving bank account online that needs an OTP. DON'T SHARE THE OTP WITH ANYONE. BANK NEVER CALLS TO VERIFY IT. This OTP is confidential and you are responsible for safeguarding it. Sharing it can lead to fraud. The OTP is 567834.,YOU HAVE INITIATED REQUEST FOR APPLYING SAVING BANK ACCOUNT ONLINE THAT NEEDS AN OTP DO SHARE THE OTP WITH ANYONE BANK NEVER CALLS TO VERIFY IT THIS OTP IS CONFIDENTIAL AND YOU ARE RESPONSIBLE FOR SAFEGUARDING IT SHARING IT CAN LEAD TO FRAUD THE OTP IS,267
5,5,"Dear Customer,  We saw a large number of customers visiting our branches today. We would like to thank everyone for their patience and support. For your convenience, our branches will remain open this Saturday and Sunday. Warm regards, ICICI Bank  khayaal aapka",DEAR CUSTOMER WE SAW LARGE NUMBER OF CUSTOMERS VISITING OUR BRANCHES TODAY WE WOULD LIKE TO THANK EVERYONE FOR THEIR PATIENCE AND SUPPORT FOR YOUR CONVENIENCE OUR BRANCHES WILL REMAIN OPEN THIS SATURDAY AND SUNDAY WARM REGARDS ICICI BANK KHAYAAL AAPKA,122
6,6,"Dear Customer, secure your hard earned money by opening a 390 day FD @ 7.25%. Rates valid till 16-Nov-16. To open a FD, visit http://bit.ly/1OkFJAF . T&C.",DEAR CUSTOMER SECURE YOUR HARD EARNED MONEY BY OPENING DAY FD RATES VALID TILL TO OPEN FD VISIT HTTP,154
7,7,"Dear Customer,as per your request your ICICI Bank Debit Card has been blocked on 18/11/2016.",DEAR CUSTOMER AS PER YOUR REQUEST YOUR ICICI BANK DEBIT CARD HAS BEEN BLOCKED ON,351
8,8,Make your wishlist come true! 11.99%* interest rate on Personal Loan with PF of Rs. 999 only. Offer up to 30Nov16 only. SMS PLR TO 56161561. *T&C Apply.,MAKE YOUR WISHLIST COME TRUE INTEREST RATE ON PERSONAL LOAN WITH PF OF RS ONLY OFFER UP TO ONLY SMS PLR TO APPLY,429
9,9,"Dear Applicant, your ICICI Bank Personal Loan Application ref number PL03358167 is currently under process. For any queries, you can call us at 18002676005",DEAR APPLICANT YOUR ICICI BANK PERSONAL LOAN APPLICATION REF NUMBER IS CURRENTLY UNDER PROCESS FOR ANY QUERIES YOU CAN CALL US AT,201
10,10,"5641 is the OTP for your Verification process with Fullerton India. If you have not applied, please call on 1800-103-6011. TCA",IS THE OTP FOR YOUR VERIFICATION PROCESS WITH FULLERTON INDIA IF YOU HAVE NOT APPLIED PLEASE CALL ON TCA,111
11,11,5784 is your One Time Code. Please type this in to verify your mobile number. Welcome to InstaPaisa.,IS YOUR ONE TIME CODE PLEASE TYPE THIS IN TO VERIFY YOUR MOBILE NUMBER WELCOME TO INSTAPAISA,156
12,12,624733 is your Dynamic Access Code for CRN XXXX730.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
13,13,Your fund transfer request to APOORVA  JAIN's Kotak a/c for INR.160 from a/c xx0827 has been processed on 19-OCT-2016. Ref no. 999965235713.,YOUR FUND TRANSFER REQUEST TO APOORVA JAIN KOTAK FOR FROM HAS BEEN PROCESSED ON REF NO,189
14,14,Your fund transfer request to APOORVA  JAIN's Kotak a/c for INR.40 from a/c xx0827 has been processed on 27-OCT-2016. Ref no. 999964649734.,YOUR FUND TRANSFER REQUEST TO APOORVA JAIN KOTAK FOR FROM HAS BEEN PROCESSED ON REF NO,189
15,15,"Rs. 41,129.00 is credited to your A/c XXXX0827  on 29-OCT-16 on account of Salary .",RS IS CREDITED TO YOUR ON ON ACCOUNT OF SALARY,45
16,16,Rs. 574.00 is credited to your A/c XXXX0827  on 31-OCT-16 on account of Reimbursements .,RS IS CREDITED TO YOUR ON ON ACCOUNT OF REIMBURSEMENTS,5
17,17,Your fund transfer request for INR. 2000 from a/c xx0827 to 33060100006557 (an a/c at another bank) has been received on 12-NOV-2016. Ref No. KKBKH16317710619.,YOUR FUND TRANSFER REQUEST FOR INR FROM TO AN AT ANOTHER BANK HAS BEEN RECEIVED ON REF NO,63
18,18,Your fund transfer request for INR. 1700 from a/c xx0827 to 003501561088 (an a/c at another bank) has been received on 21-NOV-2016. Ref No. KKBKH16326880862.,YOUR FUND TRANSFER REQUEST FOR INR FROM TO AN AT ANOTHER BANK HAS BEEN RECEIVED ON REF NO,63
19,19,Your a/c no. XXXXXXXX0827 is credited for Rs.850.00 on 24-11-16 by a/c linked to mobile XXXXXXX254 (IMPS Ref no 632918104630).,YOUR NO IS CREDITED FOR ON BY LINKED TO MOBILE IMPS REF NO,39
20,20,Your fund transfer request for INR. 290 from a/c xx0827 to 003501561088 (an a/c at another bank) has been received on 30-NOV-2016. Ref No. KKBKH16335768085.,YOUR FUND TRANSFER REQUEST FOR INR FROM TO AN AT ANOTHER BANK HAS BEEN RECEIVED ON REF NO,63
21,21,Rs. 758.00 is credited to your A/c XXXX0827  on 02-DEC-16 on account of Reimbursement .,RS IS CREDITED TO YOUR ON ON ACCOUNT OF REIMBURSEMENT,45
22,22,Standing Instruction for INR 9000 for beneficiary neha mansukhani from your A/c xx0827 scheduled on 05-DEC-2016 has been processed successfully.,STANDING INSTRUCTION FOR INR FOR BENEFICIARY NEHA MANSUKHANI FROM YOUR SCHEDULED ON HAS BEEN PROCESSED SUCCESSFULLY,75
23,23,Your fund transfer request for INR. 10000 from a/c xx0827 to 10188357043 (an a/c at another bank) has been received on 06-DEC-2016. Ref No. KKBKH16341714687.,YOUR FUND TRANSFER REQUEST FOR INR FROM TO AN AT ANOTHER BANK HAS BEEN RECEIVED ON REF NO,63
24,24,Your transaction at DMART AVENUE using Kotak Debit Card from your account XX0827 on 13-12-2016 21:06:41 could not be processed due to Technical issue.. The transaction reference No is 634815500152.,YOUR TRANSACTION AT DMART AVENUE USING KOTAK DEBIT CARD FROM YOUR ACCOUNT ON COULD NOT BE PROCESSED DUE TO TECHNICAL THE TRANSACTION REFERENCE NO IS,454
